name,homepage,profile
"Bhramar Mukherjee, PhD",https://sph.umich.edu/faculty-profiles/mukherjee-bhramar.html,https://sph.umich.edu/faculty-profiles/images/bhramar.jpg
"Goncalo Abecasis, DPhil",https://sph.umich.edu/faculty-profiles/abecasis-goncalo.html,https://sph.umich.edu/faculty-profiles/images/goncalo.jpg
"Veera Baladandayuthapani, PhD ",https://sph.umich.edu/faculty-profiles/baladandayuthapani-veerabhadran.html,https://sph.umich.edu/faculty-profiles/images/veerab.jpg
"Mousumi Banerjee, PhD",https://sph.umich.edu/faculty-profiles/banerjee-mousumi.html,https://sph.umich.edu/faculty-profiles/images/mousumib.jpg
"Michael Boehnke, PhD",https://sph.umich.edu/faculty-profiles/boehnke-michael.html,https://sph.umich.edu/faculty-profiles/images/boehnke.jpg
"Philip S. Boonstra, PhD",https://sph.umich.edu/faculty-profiles/boonstra-philip.html,https://sph.umich.edu/faculty-profiles/images/philb.jpg
"F. DuBois Bowman, PhD",https://sph.umich.edu/faculty-profiles/bowman-f-dubois.html,https://sph.umich.edu/faculty-profiles/images/fdbowman.jpg
"Thomas Braun, PhD",https://sph.umich.edu/faculty-profiles/braun-thomas.html,https://sph.umich.edu/faculty-profiles/images/tombraun.jpg
"Walter Dempsey, PhD",https://sph.umich.edu/faculty-profiles/dempsey-walter.html,https://sph.umich.edu/faculty-profiles/images/wdem.jpg
"Michael R. Elliott, PhD",https://sph.umich.edu/faculty-profiles/elliott-michael.html,https://sph.umich.edu/faculty-profiles/images/mrelliot.jpg
"Lars Fritsche, PhD",https://sph.umich.edu/faculty-profiles/fritsche-lars.html,https://sph.umich.edu/faculty-profiles/images/larsf.jpg
"Peisong Han, PhD",https://sph.umich.edu/faculty-profiles/han-peisong.html,https://sph.umich.edu/faculty-profiles/images/peisong.jpg
"Zhi (Kevin) He, PhD",https://sph.umich.edu/faculty-profiles/he-zhi.html,https://sph.umich.edu/faculty-profiles/images/kevinhe.jpg
"Nicholas Henderson, PhD",https://sph.umich.edu/faculty-profiles/henderson-nicholas.html,https://sph.umich.edu/faculty-profiles/images/nchender.jpg
"Hui Jiang, PhD",https://sph.umich.edu/faculty-profiles/jiang-hui.html,https://sph.umich.edu/faculty-profiles/images/jianghui.jpg
"Timothy D. Johnson, PhD",https://sph.umich.edu/faculty-profiles/johnson-timothy.html,https://sph.umich.edu/faculty-profiles/images/tdjtdj.jpg
"Jian Kang, PhD",https://sph.umich.edu/faculty-profiles/kang-jian.html,https://sph.umich.edu/faculty-profiles/images/jiankang.jpg
"Hyun Min Kang, PhD",https://sph.umich.edu/faculty-profiles/kang-hyunmin.html,https://sph.umich.edu/faculty-profiles/images/hmkang.jpg
"Kelley M. Kidwell, PhD",https://sph.umich.edu/faculty-profiles/kidwell-kelley.html,https://sph.umich.edu/faculty-profiles/images/kidwell.jpg
"Gen Li, PhD",https://sph.umich.edu/faculty-profiles/gen-li.html,https://sph.umich.edu/faculty-profiles/images/ligen.jpg
"Yi Li, PhD",https://sph.umich.edu/faculty-profiles/li-yi.html,https://sph.umich.edu/faculty-profiles/images/yili.jpg
"Roderick J.A. Little, PhD",https://sph.umich.edu/faculty-profiles/little-roderick.html,https://sph.umich.edu/faculty-profiles/images/rlittle.jpg
"Jean Morrison, PhD",https://sph.umich.edu/faculty-profiles/morrison-jean.html,https://sph.umich.edu/faculty-profiles/images/jvmorr.jpg
"Susan Murray, ScD",https://sph.umich.edu/faculty-profiles/murray-susan.html,https://sph.umich.edu/faculty-profiles/images/skmurray.jpg
"Trivellore Eachambadi Raghunathan, PhD",https://sph.umich.edu/faculty-profiles/raghunathan-trivellore.html,https://sph.umich.edu/faculty-profiles/images/teraghu.jpg
"Laura Scott, PhD",https://sph.umich.edu/faculty-profiles/scott-laura.html,https://sph.umich.edu/faculty-profiles/images/ljst.jpg
"Xu Shi, PhD",https://sph.umich.edu/faculty-profiles/shi-xu.html,https://sph.umich.edu/faculty-profiles/images/shixu.jpg
